ref;brand;lat;lon;;;operator;fuel;price;isself;updated;00
11909;Q8;46.4027055;13.0175193;;;Servizi & Gestioni Italia S.R.L.;Gasolio;1.979;SelfService;10/06/2022 07:07:57;08
11910;Q8 easy;46.0534121;13.2464693;;;Servizi & Gestioni Italia S.R.L.;Gasolio;1.969;SelfService;10/06/2022 01:44:44;08
11911;Q8;46.1012200;13.2301410;;;Servizi & Gestioni Italia S.R.L.;Gasolio;2.009;SelfService;10/06/2022 07:07:57;08
11912;Q8 Easy;46.0753043;13.2264878;;;Servizi & Gestioni Italia S.R.L.;Gasolio;1.959;SelfService;10/06/2022 01:44:45;08
11913;Q8;46.0752001;13.2387295;;;Servizi & Gestioni Italia S.R.L.;Gasolio;1.989;SelfService;10/06/2022 07:07:57;08
11914;Q8;46.0375611;13.2468934;;;Servizi & Gestioni Italia S.R.L.;Gasolio;2.009;SelfService;10/06/2022 07:07:57;08
11915;Q8 Easy;45.8086001;13.3567055;;;Servizi & Gestioni Italia S.R.L.;Gasolio;1.949;SelfService;10/06/2022 01:44:40;08
11916;Q8;45.8437462;13.3263188;;;Servizi & Gestioni Italia S.R.L.;Gasolio;1.889;SelfService;01/06/2022 07:09:34;07
11939;Q8 Easy;45.7751530;12.8453037;;;Servizi & Gestioni Italia S.R.L.;Gasolio;1.959;SelfService;10/06/2022 07:07:48;08
11940;Q8;45.5095787;12.6441671;;;Servizi & Gestioni Italia S.R.L.;Gasolio;2.009;SelfService;10/06/2022 07:07:47;08
11941;Q8 Easy;45.4912720;12.2281570;;;Servizi & Gestioni Italia S.R.L.;Gasolio;1.969;SelfService;10/06/2022 01:43:54;08
11942;Q8;45.6504094;13.0610619;;;Servizi & Gestioni Italia S.R.L.;Gasolio;1.989;SelfService;10/06/2022 07:07:48;08
11943;Q8;45.6305230;12.5786700;;;Servizi & Gestioni Italia S.R.L.;Gasolio;1.969;SelfService;10/06/2022 07:07:48;08
11944;Q8;45.5548183;12.2983835;;;Servizi & Gestioni Italia S.R.L.;Gasolio;2.009;SelfService;10/06/2022 07:07:47;08
11945;;45.6018025;12.8709370;;;Servizi & Gestioni Italia S.R.L.;Gasolio;1.979;SelfService;10/06/2022 07:07:47;08
11946;Q8 easy;45.4671500;12.2154270;;;Servizi & Gestioni Italia S.R.L.;Gasolio;1.979;SelfService;10/06/2022 01:43:56;08
11947;Q8;45.5205730;12.1711055;;;Servizi & Gestioni Italia S.R.L.;Gasolio;1.979;SelfService;10/06/2022 01:43:38;08
12047;;45.8669511;12.6243041;;;Cima Servizi S.R.L.;Gasolio;1.958;Servito;08/06/2022 10:01:06;08
12383;Agip;46.1118909;13.0310080;;;D'Angelo Ivan;Gasolio;1.969;SelfService;10/06/2022 07:22:00;08
12561;Trivengas;45.5838954;12.6820749;;;Teso Lorena;Gasolio;1.919;SelfService;09/06/2022 08:45:27;07
12561;Trivengas;45.5838954;12.6820749;;;Teso Lorena;Gasolio;1.959;Servito;09/06/2022 08:45:27;08
12735;;45.4622069;12.1676213;;;Petrol Jolly S.R.L.;Gasolio;1.829;SelfService;07/06/2022 15:11:25;07
12735;;45.4622069;12.1676213;;;Petrol Jolly S.R.L.;Gasolio;2.029;Servito;07/06/2022 15:11:25;08
