ref;brand;lat;lon;;;operator;fuel;price;isself;updated;00
13109;Agip;45.8985020;12.5768410;;;Bertolo Mauro & C. S.N.C.;Benzina;1.809;Servito;20221226;08
13135;Agip;46.1605480;12.6858900;;;Del Mistro Giannina In Cristofoli;Benzina;1.659;SelfService;20221224;07
13485;IP;45.9636840;12.4336910;;;Santin Aldo;Benzina;1.609;Servito;20221227;07
13485;IP;45.9636840;12.4336910;;;Santin Aldo;Benzina;1.609;SelfService;20221227;07
13681;Agip;45.9777330;12.5748810;;;Fontanagomme di Del Ben Cristian & Carpene' Marinella S.N.C.;Benzina;1.609;SelfService;20221227;07
13689;Eni;45.9459880;12.9767420;;;Pituello Stefano;Benzina;1.639;SelfService;20221227;07
13865;;46.1581040;13.2437564;;;Tiemme Service S.A.S. di Tribos Daniele Sebastiano & C.;Benzina;1.669;Servito;20221227;07
13872;Tamoil;46.0367069;13.2462681;;;Tiemme Service S.A.S. di Tribos Daniele Sebastiano & C.;Benzina;1.589;Servito;20221224;07
14191;IP;46.0961774;12.6807068;;;F.lli Corba S.A.S. di Corba Massimo e Stefano;Benzina;1.589;Servito;20221227;07
14213;Eni;46.2871495;13.1223732;;;Zamolo S.A.S. di Zamolo Giulio & C.;Benzina;1.629;SelfService;20221228;07
14213;Eni;46.2871495;13.1223732;;;Zamolo S.A.S. di Zamolo Giulio & C.;Benzina;1.839;Servito;20221228;08
14227;Bolgan;45.5191727;12.1102516;;;Bolgan Aldo;Benzina;1.607;Servito;20221224;07
14227;Bolgan;45.5191727;12.1102516;;;Bolgan Aldo;Benzina;1.607;SelfService;20221224;07
14467;IP;45.1681590;12.2742528;;;Valli S.R.L.;Benzina;1.565;SelfService;20221227;07
14643;Agip;46.0268256;12.9372198;;;Da Angela di Fabris Giacomino & C. - S.A.S.;Benzina;1.649;SelfService;20221224;07
14823;Eni;45.8403241;13.4934855;;;Ricciardi Antonio;Benzina;1.624;SelfService;20221227;07
14823;Eni;45.8403241;13.4934855;;;Ricciardi Antonio;Benzina;1.844;Servito;20221227;08
15360;Esso;45.7224388;12.7021906;;;Romano Energy S.A.S. di Romano Tomas & C.;Benzina;1.599;SelfService;20221228;07
15360;Esso;45.7224388;12.7021906;;;Romano Energy S.A.S. di Romano Tomas & C.;Benzina;1.699;Servito;20221228;07
15474;Agip;45.4572710;11.9932940;;;Girardello Stefano;Benzina;1.654;SelfService;20221227;07
15502;IP;45.6959140;13.0688270;;;Aprilia Marittima 2000 S.p.A.;Benzina;1.809;Servito;20221226;08
15517;IP;45.8277200;13.4012111;;;Singh Gurdial;Benzina;1.579;Servito;20221227;07
15815;IP;46.0521907;13.2383076;;;Covacich Luciano S.N.C. di Covacich L. & C.;Benzina;1.634;SelfService;20221228;07
15815;IP;46.0521907;13.2383076;;;Covacich Luciano S.N.C. di Covacich L. & C.;Benzina;1.854;Servito;20221228;08
15835;;45.9062284;12.8654772;;;Gazziola Celio Diego;Benzina;1.614;Servito;20221227;07
15872;Esso;45.5114817;12.6560659;;;Area Servizio Cella di Cella Roberto & C. S.A.S.;Benzina;1.669;SelfService;20221227;07
