7261;Q8 Easy;45.9643929;12.6728282;;;Servizi & Gestioni Italia S.R.L.
11773;Q8 Easy;45.9661302;12.6399320;;;Servizi & Gestioni Italia S.R.L.
29551;Shell;45.9476440;12.6831790;;;Zanetti S.N.C. di Zanetti Nicola e C.
24883;SMP;45.9386935;12.4973751;;;Sanson Alessandro
11774;Q8;46.1066786;12.8996309;;;Servizi & Gestioni Italia S.R.L.
30014;Tamoil;45.9723160;12.6821280;;;De Carlo Carlo di De Carlo Vania & C. S.N.C.
37731;Tamoil;45.9687840;12.6154430;;;T.D.M. S.R.L.
34369;Esso;45.9749276;12.6505677;;;Tesolin Fabio
26623;IP;45.8065170;13.3562370;;;Dijust Salvore
31589;Tamoil;46.1881286;13.1161660;;;Nuova Sidap S.R.L.
40623;Eni;46.0630959;13.2273044;;;Filling Station Motel S.R.L.
35407;LORO;46.0683449;12.5865581;;;Reva Srl
21045;IP;46.0938289;12.5957715;;;Ule' De Riva di Mellina-Gottardo Sara
19502;Agip;46.0380017;12.6143167;;;Gi.Mi S.N.C. di Dall'Acqua Giancarlo & C.
24870;Agip;46.0518580;12.6023430;;;Querenghi Antonio
9001;Q8;46.0630539;12.5977319;;;Servizi & Gestioni Italia S.R.L.
25419;Esso;45.9507620;12.6615720;;;Gazzola Mario
5225;SMP;45.9316700;12.6575380;;;San Marco Petroli Distribuzione S.R.L.
44585;IP;46.0147220;13.1089240;;;
39463;;45.9615862;12.7047137;;;Tumiotto Francesco & C. S.N.C.
5681;Api;45.9785123;12.6934686;;;Della Zotta Giancarlo
35107;TotalErg;46.2680481;13.1190521;;;Be.Oil di Fabbro Edoardo & C. S.A.S.
13020;;46.1146394;12.9575587;;;Bezzutti Paolo
33105;Esso;46.0680120;13.2444420;;;Formaggio Fulvio
5239;San Marco Petroli;45.9045818;13.2463972;;;
9179;Fly;46.0926934;13.0730984;;;Lb di Lauzzana Rita
39519;Esso;45.9387000;13.1205500;;;Plus Service di De Paoli Marco & C. S.N.C.
24421;KV;46.1181509;13.2173907;;;Vanello Eugenio & Figli S.P.A
35355;Esso;46.0165821;13.2569841;;;Rigotto Nerio
32403;IP;45.9403191;13.0784234;;;Blason Luca & C. S.A.S.
